Gear Position,Class,Name,Description,Base DPS,Base Special DPS
gear1/2,melee,Rusty Sword,Kills things. Sometimes...,138 DPS,N/A
gear1/2,melee,Balanced Blade,Damage increases up to +50% when you strike repeatedly. Inflicts critical hits after 10 successive hits.,118 DPS,185 critical DPS278 max DPS
gear1/2,melee,Twin Daggers,Inflicts a critical hit on the 3rd consecutive strike.Two daggers for the price of one. Slice and dice... guaranteed to please.,154 DPS,238 critical DPS
gear1/2,melee,Nutcracker,"Inflicts a critical hit if the victim is stunned, frozen or rooted.",155 DPS,386 critical DPS
gear1/2,melee,Blood Sword,Causes bleeding (5 DPS for 12 sec).,122 DPS,5 bleeding DPS
gear1/2,melee,Spartan Sandals,"Knocks back enemies, dealing damage where they land. Deals 90 extra damage if the enemy hits a wall. The final strike in the combo will knock back any enemy.This. Is. DEAD CELLS!",32 DPS,90 bonus damage
gear1/2,melee,Oiled Sword,Douses the enemy with inflammable oil and inflict critical hits during 10 sec after hitting an enemy on fire.,149 DPS,224 critical DPS
gear1/2,melee,Broadsword,"The second and third hits are critical.Slow and heavy, but deliciously vicious.",164 DPS,273 critical DPS
gear1/2,melee,Assassin's Dagger,Inflicts a critical hit when you stab your enemy in the back.Light but deadly if you know how to use it.,100 DPS,300 critical DPS
gear1/2,melee,Frantic Sword,Inflicts a critical hit when you have less than 50% health or more than 50% Malaise.The weapon of choice for fighters who like to live dangerously.,137 DPS,285 critical DPS
gear1/2,melee,Cursed Sword,"One hit and you're dead.So you like to play hardball, do ya?",553 DPS,N/A
gear1/2,melee,Shovel,Knocks back enemies and bombs.Any object can become a deadly weapon if it's moving fast enough...,144 DPS,N/A
gear1/2,melee,Spite Sword,"Inflict a critical hit if you took damage less than 8 sec ago, or if you're cursed.A rusty weapon that reveals its power when things get tough.",144 DPS,347 critical DPS
gear1/2,melee,Valmont's Whip,Ignores shields. Inflicts a critical hit if the tip of the whip strikes the enemy.Popularized by the well-dressed Baron Valmont du Cul.,109 DPS,305 critical DPS
gear1/2,melee,Wrenching Whip,"Ignores shields, pulls victims toward you and inflicts a critical hit on the 3rd strike.",129 DPS,187 critical DPS
gear1/2,melee,Impaler,Inflicts a critical hit if the victim is up against a wall.,117 DPS,300 critical DPS
gear1/2,melee,Sadist's Stiletto,Inflicts a critical hit if the target is bleeding or poisoned.Hit 'em where it hurts.,109 DPS,235 critical DPS
gear1/2,melee,War Spear,Inflicts a critical hit when you strike several targets at the same time.Greater range but less speed.,149 DPS,306 critical DPS
gear1/2,melee,Rapier,Inflicts a critical hit immediately after a roll or a parry.It's all in the wrist.,106 DPS,268 critical DPS
gear1/2,melee,Spiked Boots,Inflicts a critical hit if the kick interrupts an attack.,105 DPS,303 critical DPS
gear1/2,melee,Hayabusa Boots,The last hit inflicts area-of-effect damage and pushes enemies back.,128 DPS,N/A
gear1/2,melee,Hayabusa Gauntlets,Inflicts critical hits if the victim has less than 40% HP.UselessUselessUselessUselessUselessUsel...,124 DPS,243 critical DPS
gear1/2,melee,Torch,Burns your enemies (15 DPS for 2.7 sec).Talk about mood lighting!,109 DPS,15 burning DPS
gear1/2,melee,Symmetrical Lance,Inflicts critical hits for 6 sec if you quickly kill 2 enemies with this weapon.,192 DPS,288 critical DPS
gear1/2,melee,Swift Sword,"Inflicts a critical hit if you have an active speed buff.Forget about taking your time. To get real results, strike hard and fast.",137 DPS,208 critical DPS
